0,1
Name of medical college hospital,Average length of stay
"Dhaka Medical College Hospital, Dhaka",9.8
"Shaheed Suhrawardy Medical College Hospital, Dhaka",6.3
"Rangpur Medical College Hospital, Rangpur",5.1
"Sir Salimullah Medical College Hospital, Mitford, Dhaka",4.9
"Shahid Ziaur Rahman Medical College Hospital, Bogura",4.7
"Chattogram Medical College Hospital, Chattogram",4.4
"Khulna Medical College Hospital, Khulna",4.4
"Kumilla Medical College Hospital, Kumilla",4.2
"Bangabandhu Sheikh Mujib Medical College Hospital, Faridpur",3.9
"M Abdur Rahim Medical College Hospital, Dinajpur",3.9
"Sher-E-Bangla Medical College Hospital, Barishal",3.9
"Mymensingh Medical College Hospital, Mymensingh",3.8
"MAG Osmani Medical College Hospital, Sylhet",3.6
"Rajshahi Medical College Hospital, Rajshahi",3.1
"Shaheed Tajuddin Ahmad Medical College Hospital, Gazipur",2.3
