0,1,2,3,4,5,6,7
Name of institution,Colposcopy tests in 2020,,,,,,Total
Organizational unit/Data,Normal,CIN-I,CIN-II,CIN-III,Ca-cervix,Others,
"Bangabandhu Sheikh Mujib Medical
University",2333,631,61,11,189,0,3225
"Chattogram Medical College
Hospital, Chattogram",129,26,2,0,6,12,175
"Kumilla Medical College Hospital,
kumilla",222,67,4,4,17,11,325
"Dhaka Medical College Hospital,
Dhaka",73,134,61,5,1,20,294
"Faridpur Medical College Hospital,
Faridpur",60,9,5,2,3,0,79
"Khulna Medical College Hospital,
Khulna",40,15,7,0,14,5,81
"M. Abdur Rahim Medical College
Hospital, Dinajpur",90,65,4,1,15,4,179
"MAG Osmani Medical College
Hospital, Sylhet",12,24,4,0,3,14,57
"Mymensingh Medical College
Hospital, Mymensingh",227,120,2,4,16,9,378
"Rajshahi Medical College Hospital,
Rajshahi",590,136,14,3,21,0,764
"Rangpur Medical College Hospital,
Rangpur",109,62,20,3,5,0,199
"Shaheed Suhrawardy Medical
College Hospital, Dhaka",8,5,0,0,6,3,22
"Shahid Ziaur Rahman Medical
College Hospital, Bogura",79,76,6,2,1,0,164
"Sher-E-Bangla Medical College
Hospital, Barishal",161,161,8,0,2,1,333
"Sir Salimullah Medical College
Hospital, Mitford, Dhaka",23,4,2,0,1,0,30
Total,4156,1535,200,35,300,79,6305
