0,1,2,3,4,5,6,7
"Sl
no","Name of district-level
hospital",OPD visit,,Emergency visit,,Inpatients,
,,Female,Male,Female,Male,Female,Male
1,"Brahmanbaria District
Hospital, Brahmanbaria",173988,229770,42916,72236,20764,19371
2,"Bagerhat District
Hospital, Bagerhat",99919,57444,4626,6503,10975,8175
3,"Bandarban District
Hospital, Bandarban",38178,31498,1365,2866,2998,3240
4,"Barguna District Hospital,
Barguna",58881,52070,15863,17567,11193,8964
5,"Barishal District Hospital,
Barishal",50545,48944,9201,8829,6289,5819
6,"Bhola District Hospital,
Bhola",99602,68902,7359,9308,21146,25023
7,"Chandpur District
Hospital, Chandpur",129705,115595,32872,40115.3,23187,19416
8,"Chattogram General
Hospital, Chattogram",115775,123566,6642,13530,6114,3859
9,"Chuadanga District
Hospital, Chuadanga",87196,118885,43358,43186,24451,20477
10,"Cox’s Bazar District
Hospital, Cox’s Bazar",165170,128122,48634,50008,39207,35776
11,"Dinajpur District Hospital,
Dinajpur",65914,59628,8381,14735,9860,8581
12,"Faridpur General
Hospital, Faridpur",96224,93838,20578,25851,9447,10256
13,"Feni District Hospital,
Feni",94419,95237,59432,40958,34716,23760
14,"Gaibandha District
Hospital, Gaibandha",109086,107522,38380,42366,18670,15318
15,"Gopalganj District
Hospital, Gopalganj",118490,93556,20148,23720,22039,20716
16,"Habiganj District
Hoapital, Habiganj",43071,39185,14286,12711,17478,14985
17,"Jamalpur District
Hospital, Jamalpur",180503,140513,43704,38319,35014,31025
18,"Jashore District Hospital,
Jashore",339615,227910,8407,13712,39704,35857
19,"Jhalokathi District
Hospital, Jhalokathi",70380,49890,26362,27398,8343,6228
20,"Jhenaidah District
Hospital, Jhenaidah",202481,133278,7658,18261,23934,18621
21,"Joypurhat District
Hospital, Joypurhat",129184,132353,2393,3313,18829,20388
