0,1,2
Name of district-level hospital,Major surgery,Minor surgery
"Brahmanbaria District Hospital, Brahmanbaria",1708,7137
"Bagerhat District Hospital, Bagerhat",79,4146
"Bandarban District Hospital, Bandarban",31,2231
"Barguna District Hospital, Barguna",155,5109
"Barishal District Hospital, Barishal",390,4737
"Bhola District Hospital, Bhola",780,2856
"Chandpur District Hospital, Chandpur",1262,2026
"Chattogram General Hospital, Chattogram",2149,1396
"Chuadanga District Hospital, Chuadanga",1920,3832
"Cox’s Bazar District Hospital, Cox’s Bazar",1363,8712
