0,1,2,3,4,5,6,7
"Sl
no.","Name of medical college
hospital",OPD visit,,Emergency visit,,Inpatient,
,,Female,Male,Female,Male,Female,Male
1,"Bangabandhu Sheikh Mujib
Medical College Hospital,
Faridpur",178419,153 746,36881,32208,40637,35082
2,"Chattogram Medical College
Hospital, Chattogram",412982,421132,134936,151142,120888,135881
3,"Kumilla Medical College
Hospital, Kumilla",189098,165372,39778,33431,41899,35217
4,"Dhaka Medical College
Hospital, Dhaka",564189,501248,268854,297969,89234,104902
5,"Khulna Medical College
Hospital, Khulna",115835,79024,4646,4453,37592,34022
6,"M Abdur Rahim Medical
College Hospital, Dinajpur",142086,124768,32247,31776,30881,29952
7,"MAG Osmani Medical College
Hospital, Sylhet",508677,412817,3226,6889,79283,97184
8,"Mymensingh Medical College
Hospital, Mymensingh",825189,784225,107415,99485,142180,127429
9,"Rajshahi Medical College
Hospital, Rajshahi",476486,382243,6344,7259,104261,101258
10,"Rangpur Medical College
Hospital, Rangpur",206075,228156,63177,67968,66739,71781
11,"Shaheed Suhrawardy Medical
College Hospital, Dhaka",896220,876741,110787,109029,31516,29232
12,"Shaheed Tajuddin Ahmad
Medical College Hospital,
Gazipur",192837,189317,56335,57790,28272,22162
13,"Shahid Syed Nazrul Islam
Medical College Hospital,
Kishoreganj",0,0,0,0,0,0
14,"Shaheed Ziaur Rahman
Medical College Hospital,
Bogura",300826,230284,45308,51437,45037,52736
15,"Sher-E-Bangla Medical College
Hospital, Barishal",247755,220995,80169,84243,75105,74669
16,"Sir Salimullah Medical College
Hospital, Mitford, Dhaka",470234,330502,90670,92077,45336,33467
Total,,5726908,5100570,1080773,1127156,978860,984974
