0,1,2,3,4
"Sl.
no.",Code,Name of institution,"Estd.
year",Seats
21,31,"Kushtia Medical College, Kushtia",2011,65
22,32,"Sheikh Sayera Khatun Medical College, Gopalganj",2011,65
23,33,"Shaheed Tajuddin Ahmad Medical College, Gazipur",2013,72
24,34,"Sheikh Hasina Medical College, Tangail",2014,65
25,35,"Sheikh Hasina Medical College, Jamalpur",2014,65
26,36,"Colonel Malek Medical College, Manikganj",2014,75
27,37,"Shaheed M Mansur Ali Medical College, Sirajganj",2014,65
28,38,"Patuakhali Medical College, Patuakhali",2014,51
29,39,"Rangamati Medical College, Rangamati",2014,51
30,40,"Mugda Medical College, Dhaka",2015,75
31,41,"Sheikh Hasina Medical College, Habiganj",2017,51
32,42,"Netrakona Medical College, Netrakona",2018,50
33,43,"Nilphamari Medical College, Nilphamari",2018,50
34,44,"Naogaon Medical College, Naogaon",2018,50
35,45,"Magura Medical College, Magura",2018,50
36,46,"Chandpur Medical College, Chandpur",2018,50
37,47,"Bangabandhu Medical College, Sunamganj",2020,50
Total,,,,4350
