0,1,2,3,4,5,6,7,8,9,10,11
"Type of
facility","No. of
facili(cid:1)es",No. of admissio ns,,,No. of hospital de aths,,,No. of OPD vis its,,,
,,Male,Femal e,Tota l,Male,Femal e,Tota l,Male,Femal e,Childre n,Tota l
"University
Hospita l",1,"25,47 3","15,32 4","40,79 7",646,319,965,"804,43 6","685,25 9",,"1,489,69 5"
"Postgraduate
Teaching a nd
Specialized
Hospita l",7,"58,66 6","22,99 5","85,66 4","3,093","1,202","4,504","282,25 7","171,05 9","42,95 1","554,17 6"
"Medical
College
Hospita l",12,"357,55 7","337,54 8","695,25 1","16,18 7","13,06 9","29,26 7","1,745,05 4","1,996,58 1","576,76 8","4,301,51 9"
"District an d
General
Hospita l",61,"456,24 4","622,31 9","1,098,14 8","22,23 4","19,52 9","27,69 9","2,484,42 6","3,078,11 1","2,380,68 4","8,167,86 4"
"Upazila Health
Comple x",413,"647,47 8","888,94 8","1,536,34 2","3,718","3,263","6,986","7,101,14 9","9,816,95 6","5,455,46 6","22,557,46 1"
"31-bed Health
Comple x",3,"2,070","2,411","4,486",1,2,3,"32,99 6","48,64 2","43,30 9","124,94 7"
"Infec(cid:1)ous
Disease
Hospita l",2,"1,735","1,686","3,421",84,28,112,"23,47 5","9,033","13,74 4","46,25 2"
"Leprosy
Hospita l",2,229,27,256,0,0,0,"4,554","5,926",640,"11,12 0"
"Drug Addic(cid:1)on
Treatment
Center",2,-,-,-,-,-,-,-,-,-,-
TB Hospit al,9,"1,085",429,"1,521",38,17,55,"4,770","2,195",253,"7,218"
"Government
Employees’
Hospita l",1,381,538,919,0,0,0,"42,28 3","24,32 9","5,183","71,79 5"
"Mental
Hospita l",1,"1,108",313,"1,421",5,0,5,"10,55 8","13,05 0",0,"23,60 8"
TB Cente r,1,-,-,-,-,-,-,-,-,-,-
TB Clin ic,33,-,-,-,-,-,-,"60,02 0","48,47 6","14,21 8","122,83 4"
"Union Sub-
cente r",-,-,-,-,-,-,-,"4,385,33 7","6,134,10 0","3,238,75 5","13,910,99 1"
"Urban
Dispensa ry",12,-,-,-,-,-,-,"27,38 8","53,45 3","45,70 3","126,85 0"
"RuraHl ealth
Cente r",13,"1,355","1,382","2,737",19,5,24,"50,76 9","85,57 2","52,11 1","188,75 2"
"School Health
Clinic",16,-,-,-,-,-,-,"69,70 8","90,10 6","61,13 8","231,39 3"
"Secretariat
Clinic",-,-,-,-,-,-,-,"80,66 9","17,01 3","1,709","99,39 1"
Tota l,,"1,553,38 1","1,893,92 0","3,470,96 3","46,02 5","37,43 4","69,62 0","17,209,84 9","22,279,86 1","11,932,63 2","52,035,86 6"
