0,1
Name of institutions,No. (%)
Bangabandhu Sheikh Mujib Medical University (BSMMU),"1,674 (31.32%)"
Rajshahi Medical College Hospital (RjMCH),850 (15.92%)
Chittagong Medical College Hospital (CMCH),525 (9.82%)
Mymensingh Medical College Hospital (MMCH),478 (8.94%)
Sylhet MAG Osmani Medical College Hospital (SMAGOMCH),431 (8.06%)
Khulna Medical College Hospital (KMCH),349 (6.52%)
Dhaka Medical College Hospital (DMCH),285 (5.33%)
Shaheed Suhrawardi Medical College Hospit al(SSMCH ),184 (3.44%)
Comilla Medical College Hospital (CoMCH),170 (3.18%)
Barisal Sher-e-Bangla Medical College Hospital (SBMCH),139 (2.62%)
Rangpur Medical College Hospital (RpMCH),135 (2.52%)
Faridpur Medical College Hospital (FMCH),125 (2.33%)
Total,"5,345 (100%)"
