0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,,,,,
"Rushmono General Hospital
Ltd., Dhaka",57,1077,995,2072,8,8,16,3,4,2,9
"Safa Marwa General Hospital,
Kapasia, Gazipur",10,260,767,1027,0,0,0,1141,3890,1343,6374
"Safe Way Medical Services,
Dinajpur",,1,46,47,0,0,0,0,0,0,0
"Seba General Hospital, Gazipur",20,202,414,616,0,0,0,1102,2570,648,4320
"Sevenday Clinic & Nursing
Home, Dinajpur",10,162,244,406,0,0,0,0,0,0,0
"Shafipur General Hospital,
Konabari, Gazipur",10,172,205,377,0,0,0,215,321,106,642
"Shaheed Asadullah Ideal
Hospi(cid:1)al, Dinajpur",10,368,181,549,0,0,0,0,0,0,0
"Shapla Medicine & Diagnos(cid:1)c
Center, Mauna, Sreepur,
Gazipur",10,478,982,1460,0,0,0,1735,1995,0,3730
"Sharif General Hospital,
Konabari, Gazipur",20,720,900,1620,0,0,0,3650,5475,1825,10950
"Shitalakhya G.H. & Diagnos(cid:1)c
Center, Kapasia, Gazipur",10,230,610,840,0,0,0,7325,6128,1907,15360
"St.Marys Catholic Mother &
Child Hospital, Kaliganj,
Gazipur",10,0,108,108,0,0,0,300,4000,2700,7000
"St Vincent’s Hospital, Dinajpur",20,164,173,337,0,0,0,3745,5145,30,8920
"Sufia Hospital & Diagnos(cid:1)c
Center, Gazipur",10,266,932,1198,0,0,0,521,727,203,1451
"Sultan General Hospital,
Gazipur",10,330,350,680,0,0,0,315,411,102,828
"Surjer Hashi Clinic, Dinajpur",20,8,2268,2276,0,0,0,26656,84767,31196,"14261
9"
"Syeam Clinic Housing
Roundabout, Dinajpur",10,61,182,243,0,0,0,0,0,0,0
"The Modern Hospital, Sreepur,
Gazipur",10,212,645,857,0,0,0,398,723,189,1310
"Tongi Adhunik Eye Hospital,
Gazipur",10,225,473,698,,0,0,529,745,195,1469
"United General Hospital,
Hossain Market, Tongi, Gazipur",10,312,525,837,0,0,0,442,581,203,1236
"Upasom Hospital & Diagnos(cid:1)c
Center, Gazipur",10,234,345,579,0,0,0,213,289,103,605
"Zia Heart Founda(cid:1)on &
Research ins(cid:1)tute, Dinajpur",50,2456,1324,3780,260,112,372,6400,4317,316,11033
"Islami Bank Central Hospital,
Dhaka",160,8192,7554,15746,117,80,197,0,0,0,"26728
6"
Total,2927,215924,162299,339781,1625,1273,3163,408905,494882,268859,"13251
59"
