0,1,2,3,4,5,6,7,8,9
Name of the ins(cid:1)tution,Computer,Printer,Toner,"Printer-
cable",GPS,"Web-
camera","An(cid:1)virus
so(cid:5)ware",Table,Chair
"MIS-Health Head Office/
DGHS/MOHFW",46,204,408,204,,,,49,203
Divisional health offices,,,,,6,,6,6,6
Civil surgeons’offices,64,64,128,64,64,,65,64,64
District hospitals,65,65,130,65,,9,64,71,92
"Tongi 50-bed Hospital ,
Gazipur , Dhaka",1,1,2,1,,,,1,1
Upazilahealth complexes,18,18,36,18,,419,419,24,45
"50-bed Hospital, Saidpur,
Nilphamari",1,1,2,1,,,,1,1
Sadar upazila healtho offices,,,,,,,60,,
Health complexes,4,4,8,4,,,,4,4
"Rural health centers (10-
bed)",14,14,28,14,,,,14,14
Medical college hospitals,75,74,148,74,,,,74,74
"Specialized ins(cid:1)tutes and
hospitals",60,33,66,33,,,,60,60
"Chi(cid:4)agong Skin and
Social Hygiene Centre,
Chi(cid:4)agong",1,1,2,1,,,,1,1
"Government Employees
Hospital, Dhaka",1,1,2,1,,,,1,1
Urban dispensaries,33,33,66,33,,,,33,33
"Stores (Health) in
divisional level",3,3,6,3,,,,3,3
School health clinics,21,21,42,21,,,,21,21
"Port Health Office,
Chi(cid:4)agong",1,1,2,1,,,,1,1
"Medical Assistant Training
Schools",6,6,12,6,,,,6,6
Total,420,550,"1,100",550,70,428*,614,434,630
"*MIS-Health also received 1,500 web-cameras for distribu(cid:1)on among all hospitals under the Ministry of Health
and Family Welfare for introducing telemedicine services",,,,,,,,,
