0,1,2,3,4,5,6,7,8,9,10
Name of the project,"Project
cost",RAD Plloca(cid:1)on (2010-2011),,,,Expenditure (2010-2011),,,,"Progress
against
alloca(cid:1)on (% )"
,,Total,GOB,RPA,,Total,GOB,RPA,,
,,,,GOB,Other,,,GOB,Other,
"Establishment of 250-bed Na(cid:1)onal
Ins(cid:1)tute of Ophthalmology & Hospital
(2003-2012)",13287.43,9.00,9.00,0.00,0.00,4.58,4.58,0.00,0.00,50.89
"Upgrada(cid:1)on of 50-bed Na(cid:1)onal Cancer
Research Ins(cid:1)tute & Hospital to 300-
bed (2nd Revised) (2003-2010)",29552.30,1900.00,1200.00,0.00,700.00,1463.70,963.70,0.00,500.00,77.04
"Establishment of Na(cid:1)onal Ins(cid:1)tute of
Neuro-science
(2003-2011 )",19398.00,8000.00,8000.00,0.00,0.00,7721.58,7721.58,0.00,0.00,96.52
"Establishment of 150-bed
Sarkari Karmachari Hospital, Fulbaria,
Dhaka",4239.00,1100.00,1100.00,0.00,0.00,1091.00,1091.00,0.00,0.00,99.2
"Establishment of Na(cid:1)onal Ins(cid:1)tute of
ENT–1st Phase at Tejgaon He alth
Complex Campus (2008-2012)",5547.45,495.00,495.00,0.00,0.00,409.54,409.54,0.00,,82.74
"Expansion and moderniza(cid:1)on of Dhaka
Medical College Hospital",6000.00,2000.00,2000.00,0.00,0.00,1990.56,1990.56,0.00,0.00,99.53
"Establishment of Sheikh
Fazilatunnesa Mujib Eye Hospital,
Gopalganj",14131.00,500.00,500.00,0.00,0.00,497.00,497.00,0.00,0.00,99.40
"Establishment of Na(cid:1)onal Ins(cid:1)tute of
Laboratory Medicine and Referral Center",13814.00,200.00,200.00,0.00,0.00,73.00,73.00,0.00,0.00,36.50
Total,105969.18,14204.00,13504.00,0.00,700.00,13250.96,12750.96,0.00,500.00,93.29
