0,1
Name,No.
"Burn and plastic surgery units in Sylhet,
Barishal, Rangpur, Rajshahi and Faridpur
Medical Colleges",5
"Sheikh Hasina Medical College, Habiganj",1
Chandpur Medical College,1
Total,7
