0,1
OPD attendance at Specialized hospital,"no. of
visit"
"Bangladesh Institute of Tropical and Infectious
Diseases, Fouzdarhat",34101
"Pabna Mental Hospital, Pabna",38063
"Sheikh Fazilatunnessa Mujib Eye Hospital And
Training Institute",47911
"National Institute of Mental Health and
Research, Dhaka",50114
National Institute Of Ent In Dhaka,85884
Institute of Child & Mother Health (ICMH) Matuail,105630
"National Institute of Kidney Diseases & Urology,
Dhaka",113377
"National Institute of Traumatology &
Orthopaedic Rehabilitation, Dhaka(NITOR)",114371
"National Institute of Cardiovascular Diseases,
Dhaka",118261
"National Institute of Cancer Research and
Hospital, Dhaka",132084
"National Institute of Diseases of the Chest and
Hospital, Dhaka",136205
National Institute Of Neuro Science (NINS),240764
"National Institute of Ophthalmology,
Dhaka(NIO)",266022
Mugda 500 beded General Hospital,361696
Kurmitola General Hospital ( 500 Bed ),930745
