0,1,2
organisation name,"Bed
occupancy
rate","No. of
sanctioned
beds"
"National Institute of Cancer
Research and Hospital,
Dhaka",92.0,300
"Bangladesh Institute of
Tropical and Infectious
Diseases, Fouzdarhat",20.7,100
"National Institute Of Ent In
Dhaka",56.7,120
"Mugda 500 beded General
Hospital",66.7,500
"National Institute of Mental
Health and Research,
Dhaka",76,200
"National Institute
of Ophthalmology,
Dhaka(NIO)",77.5,250
"Institute of Child & Mother
Health (ICMH) Matuail",80.1,200
"National Institute of
Diseases of the Chest and
Hospital, Dhaka",90.6,670
"National Institute of Kidney
Diseases & Urology, Dhaka",94.1,150
"National Institute Of Neuro
Science (NINS)",100,300
"Kurmitola General Hospital
( 500 Bed )",102.7,500
"National Institute
of Traumatology
& Orthopaedic
Rehabilitation,
Dhaka(NITOR)",105.8,500
"National Institute of
Cardiovascular Diseases,
Dhaka",191.5,414
