0,1,2,3,4
"SDG
target",Baseline data (Year),"2017 Data, DGHS
Bangladesh","Milestone
by 2020","Target by
2030"
3.8.2,-,"13.9% (10% threshold)
(Health SDG Profile:
Bangladesh,2018,
WHO)",-,-
3.b.1,"78% (BDHS, 2014)",,95%,100%
3.b.2,"177.4 MUS$ (ERD,
FY15)",-,300 MUS$,500 MUS$
3.b.3,-,-,,
3.c.1,"(a) 7.4 (WHO, 2016)
(b) 1: 0.5: 0.2
(HRH Data Sheet,
2014 MoHFW)","“(a) 8.3 (HRD unit,
HRH Country profile,
2017, MOHFW)
(b) Physician 1:
Nurse 0.56: Health
Technologist 0.40
(HRD unit, HRH
Country profile, 2017,
MOHFW)“","(a) 18.9
(b) 1: 1.3: 1.8","(a) 44.5
(b) 1: 3: 5"
3.d.1,"87.5 (WHO, 2016)",-,90,100
3.9.1,"68.2 (WHO, 2012)",-,65,55
3.9.2,5.96 (WHO 2016),-,5.5,4.5
3.9.3,5.72 (WHO 2016),-,5,4.0
