0,1,2,3,4,5
,Investment project,Allocation,Release,Expenditure,"Utilization
rate of
allocation (%)"
,"Establishment of Faridpur Medical College and 500-
bed Hospital","1,800.00","1,800.00","1,800.00",100
,"National Institute of Digestive Diseases Research and
Hospital","12,930.00","12,930.00","10,024.59",77.53
,"Establishment of Kushtia Medical College and Hospital
Project","1,500.00",0.00,0.00,0
,"Establishment of Shaheed Sayed Nazrul Islam Medical
college , Kishorganj","9,000.00","9,000.00","7,528.27",83.65
,"Extension of Shaheed Sheikh Abu Naser Specialized
Hospital, Khulna",700.00,524.31,523.20,74.74
,Establishment of Trauma Center at Gopalgong,445.00,443.78,366.67,82.4
,"Extension of National Institute of Traumatology and
Orthopedic Hospital and Rehabilitation center (NITOR)","14,572.00","14,423.89","13,869.08",95.18
,"Establishment of Jamalpur Medical College and Hospi-
tal, as well as Jamalpur Nursing College","5,500.00","3,750.00","3,799.98",69.09
,"Establishment of Potuakhali Medical College and
Hospital","10,000.00","6,843.27","6,397.68",63.98
,Establishment of Sheikh Lutfar Rahman Dental College,"2,500.00","2,500.00",526.13,21.05
,"MNCH and Health System Improvement Project Comp-
2: Strengthening of Diagnostic Imaging System of 8
Divisional MCH",600.00,30.00,18.51,3.08
,"Col. Malek Medical College and 250- bed Hospital,
Manikganj","18,104.00","18,104.00","17,409.42",96.16
,"Shaheed M.Monsur Ali Medical College and 500- bed
Medical College, Sirajganj","19,018.83","12,623.50","12,936.82",68.02
,"Establishment of Shiekh Hasina Medical College and
Hospital, Tangail","20,000.00","19,914.00","14,022.09",70.11
,"Strengthening public health actions for emerging
infectious events in bangladesh","1,112.22",485.80,483.71,43.49
,"Expansion of National Institute of Neuroscience and
Hospital",0.00,0.00,0.00,0
,"Shaheed Tajuddin Ahmed Medical College and
Hospital, Gazipur",0.00,0.00,0.00,0
,"Eye Health Promotion and prevention of blindness in
selected areas of Bangladesh",0.00,0.00,0.00,0
,"Establishment of 500-bed Hospital and Ancillary
Building in Jessore, Cox’s Bazar, Pabna and Noakhali",0.00,0.00,0.00,0
Total,,"173,198.55","157,540.85","139,258.18",90.96
