0,1
Type/Name,No.
Government Medical College,1256
Private Medical College,1001
Armed Forces Medical College,305
Government Dental College/Unit,0
Private Dental College/Unit,340
Nursing College and/or Institute (Government),1125
Nursing College and/or Institute (Private),8500
"Medical Assistant Training School (MATS)
(Government)",52
"Medical Assistant Training School (MATS)
(Private)",8670
Institute of Health Technology (IHT) (Government),166
Institute of Health Technology (IHT) (Private),1291
Total,22706
