0,1
organisation name,ALS
"Dhaka Medical College Hospital, Dhaka",8.1
"Shaheed Suhrawardy Medical College
Hospital, Dhaka",6.7
"Chittagong Medical College Hospital,
Chittagong",5
"Shahid Ziaur Rahman Medical College
Hospital, Bogra",5
"Khulna Medical College Hospital, Khulna",4.9
"Sir Salimullah Medical College Hospital,
Mitford, Dhaka",4.9
"Rangpur Medical College Hospital, Rangpur",4.7
"Comilla Medical College Hospital, Comilla",4.5
"Sher-e-Bangla Medical College Hospital,
Barisal",4.5
"M Abdur Rahim Medical College Hospital,
Dinajpur",4.2
"Mymensingh Medical College Hospital,
Mymensingh",4
"Faridpur Medical College Hospital, Faridpur",3.9
"Rajshahi Medical College Hospital, Rajshahi",3.4
"Shaheed Tajuddin Ahmad Medical College
Hospital, Gazipur",3.3
"MAG Osmani Medical College Hospital,
Sylhet",3.2
