0,1,2
Hospital Name,"Minor
Surgery","Major
Surgery"
Barisal DH,277,430
Panchagarh DH,347,899
Rajbari DH,414,363
Rangamati DH,635,422
"Shahid Shamsuddin DH, Sylhet",637,1460
Gopalganj DH,707,820
Chittagong General Hospital,920,2040
Khagrachari DH,975,43
Shariatpur DH,1182,748
Natore DH,1347,826
Kumilla DH,1408,1342
Manikganj DH,1458,2772
Bandarban DH,1465,79
Hobiganj DH,1508,657
Jhalokati DH,1657,413
Coxs Bazar DH,1829,1141
Noakhali DH,1953,2986
Bhola DH,1962,434
Dinajpur DH,2013,1302
Chandpur DH,2133,1098
Thakurgaon DH,2135,326
Pirojpur DH,2311,143
Kurigram DH,2323,1085
Munshiganj DH,2459,813
Nababganj DH,2635,184
Jamalpur DH,2913,3119
Gaibandha DH,3204,341
Narsingdi DH,3806,502
Narsingdi (100 bed) Zila Hospital,3855,641
Joypurhat DH,3860,1775
Satkhira DH,3918,1093
