0,1,2
Hospital Name,"Minor
Surgery","Major
Surgery"
"Mohammad Ali DH , Bogra",4166,2244
Chuadanga DH,4333,1579
Barguna DH,4554,38
Nilphamari DH,4865,732
Lalmonirhat DH,4941,394
Narayanganj General Hospital,5197,1526
Narayanganj 300 bed Hospital,5395,1543
Feni DH,5686,945
Jhenaidah DH,6110,1596
B.Baria DH,6113,2512
Lakshmipur DH,6301,1007
Sherpur DH,6337,1728
Pabna DH,6471,2969
Sirajganj General Hospital,6482,953
M.Bazar DH,6788,1750
Magura DH,6944,1342
Khulna DH,7165,830
Kustia DH,7477,3822
Madaripur DH,8377,1143
Faridpur General Hospital,8397,1381
Bagerhat DH,8784,208
Narail DH,9739,738
Patuakhali DH,10188,2075
Meherpur DH,11336,555
Sunamganj DH,13561,159
Naogaon DH,13990,1112
Tangail DH,14945,5890
Jessore DH,18240,4628
Kishoreganj DH,23676,2938
Netrokona DH,53999,62
