0,1,2
Hospital name,"Major
Surgery","Minor
Surgery"
Shaheed Tajuddin Ahmad MCH,1486,3008
"M Abdur Rahim MCH, Dinajpur",2845,13989
"Faridpur MCH, Faridpur",4299,1802
"Khulna MCH, Khulna",4346,1946
"Shahid Ziaur Rahman MCH, Bogra",6514,14005
"Rangpur MCH, Rangpur",8598,16818
"Sher-e-Bangla MCH, Barisal",10383,11020
"Comilla MCH, Comilla",10711,8636
"Sir Salimullah MCH, Mitford, Dhaka",11498,8981
"Rajshahi MCH, Rajshahi",15134,22167
"Chittagong MCH, Chittagong",15382,12773
"Mymensingh MCH, Mymensingh",16101,34009
"Shaheed Suhrawardy MCH, Dhaka",16925,9220
"MAG Osmani MCH, Sylhet",19272,21729
"Dhaka MCH, Dhaka",29054,39819
