0,1
Structure,No.
"Divisional Director and Deputy Director Office (Family
Planning), Barishal",1
Deputy Director Office (Family Planning),31
Health Engineering Building,5
Divisional Director Office (Health),3
Upazila Family Planning Office and Storage Facility,104
"Civil Surgeon Residence, Bogura",1
Total,145
