0,1,2
,"R
E
T
P
A
H
C","SERVICES
PUBLIC HEALTH
Maternal, Newborn, Child and
SUB-CHAPTER 4.1
Adolescent Health
MATERNAL HEALTHCARE
The Ministry of Health and Family Welfare, Bangladesh in collaboration with
UNICEF, has been running the facility-based Emergency Obstetric Care (EOC)
Program, in all districts of Bangladesh, to improve the maternal health situation.
All the government medical college hospitals, district hospitals, upazila hospitals,
and maternal and child welfare centers (MCWCs) provide obstetric care services,
inclusive of emergency obstetric care. A number of private clinics or hospitals
and health-related NGOs are also serving as partners in this program. Obstetric
care is classified into two categories in this program; they are: Comprehensive
Emergency Obstetric Care (CEmOC) and Basic Emergency Obstetric Care (BEOC).
Currently, all medical college hospitals, 59 district hospitals, 3 general hospitals,
132 upazila health complexes, and 71 MCWCs provide CEmOC, and rest of the
upazila health complexes provide BEOC. The list also includes NGOs and private
care providers from a number of districts. Under a program, jointly operated by
the Management Information System (MIS) of the DGHS and UNICEF, data are
collected from the EOC facilities.
Table 4.1.1 Sources of data on emergency obstetric care which have been
analyzed for translating them into a format called United Nations Process
Indicators.
A network for
improving
Type of hospital/ facility Number Percentage
safe, effective, (%)
Medical college hospital 15 2%
timely, efficient,
District and general hospital 62 9%
equitable, and
Upazila health complex 416 62%
people-centered
Maternal child and welfare center 71 10%
health care
Private care providers 64 9%
for maternal,
NGO care providers 51 8%
newborn, child and
Total 679 100
adolescent health"
,01,
,02,
,03,
,04,
,05,
,06,
,07,
,08,
,09,
,10,
,11,
,12,
