0,1,2
Name of institute with location,Estd.,Discipline
,,LAB RDL PTY SI DENT PHAR RTY FF&TR
"Institute of Health Technology,
Mohakhali, Dhaka",1963,50 50 50 50 50 50 20 5+2
"Institute of Health Technology, Rajshahi.
Institute of Health Technology, Bogra","1976
2006","50 50 50 50 50 50 20 5+1
65 55 50 50 55 55 20 5+2"
"Institute of Health Technology,
Chittagong",2011,50 50 50 50 50 50 20 5+2
"Institute of Health Technology, Barisal",2011,50 50 50 50 50 50 20 5+2
"Institute of Health Technology, Rangpur",2011,50 50 50 50 50 50 20 5+2
"Institute of Health Technology,
Jhenaidah,",2012,50 50 50 50 50 50 50 50
"Institute of Health Technology, Sylhet",2012,50 50 0 0 0 0 0 -
=8,"Total
seats",415 405 350 350 355 355 170 -
