0,1,2,3,4,5,6,7,8
Unit,Barisal,Chittagong,Dhaka,Khulna,Rajshahi,Rangpur,Sylhet,Total
"No.
%","10877
5.2","38632
18.3","58698
27.9","32448
15.4","28674
13.6","15745
7.5","25597
12.2","210671
100.0"
"No.
%","15775
4.0","77598
19.9","105561
27.0","36676
9.4","76487
19.6","39099
10.0","39692
10.2","390888
100.0"
"No..
%","86985
5.1","346406
20.3","493659
28.9","159864
9.4","337648
19.8","162559
9.5","120483
7.1","1707605
100.0"
"No..
%","44244
6.6","148535
22.2","153531
22.9","65935
9.8","107143
16.0","72075
10.8","78901
11.8","670364
100.0"
"No.
%","770
7.4","3062
29.2","2662
25.4","623
5.9","510
4.9","2412
23.0","436
4.2","10475
100.0"
"No..
%","60763
6.3","176821
18.4","269265
28.0","93545
9.7","177432
18.5","109302
11.4","74326
7.7","961454
100.0"
"No.
%","3846
3.5","15806
14.4","27305
24.9","13204
12.0","23033
21.0","13325
12.1","13292
12.1","109811
100.0"
"No.
%","12012
6.1","34943
17.7","50298
25.5","17293
8.8","35586
18.0","21588
10.9","25634
13.0","197354
100.0"
"No.
%","14904
7.1","41948
20.1","45961
22.0","16838
8.1","32670
15.6","25421
12.2","31079
14.9","208821
100.0"
"No.
%","59415
6.6","167459
18.7","243586
27.2","77508
8.7","184275
20.6","74015
8.3","88980
9.9","895238
100.0"
"No.
%","309591
5.8","1051210
19.6","1450527
27.0","513934
9.6","1003458
18.7","535541
10.0","498420
9.3","5362681
100.0"
