0,1,2,3,4
,"Means of verification
and timing","Baseline and
source",Update 2013,
Goal: Ensure quality and equitable healthcare for all citizens o,f Bangladesh,,,
,"BDHS, every 3 years
BDHS, every 3 years
BDHS, every 3 years
BMMS, every 5 years
BDHS, every 3 years
BDHS, every 3 years
BDHS, every 3 years
Sero-Surveillance (SS),
every 2 years","52, BDHS 2007
65, BDHS 2007
37, BDHS 2007
194, BMMS 2010
2.7, BDHS 2007
43.2%, BDHS 2007
41.0%, BDHS 2007
<1%, SS 2007","43, BDHS 2011
53, BDHS 2011
32, BDHS 2011
194, BMMS 2010
2.3, BDHS 2011
38.7%, UESD 2013
35.1%, UESD 2013
0.7%, SS 2011",
"Program development objective: Increase availability and utili
quality HPN services","zation of user-centered, eff","ective, efficient, equitab","le, affordable and acc",essible
Strategic objective: Improve access to and utilization of essen,"tial health, population and","nutrition services, part",icularly by the poor,
Component 1: Service delivery improved,,,,
Result 1.1: Increased utilization of essential HPN services,,,,
,"BDHS, every 3 years
BDHS, every 3 years
BDHS, every 3 years
BDHS, every 3 years
BDHS, every 3 years
CES, annual
BDHS, every 3 years
BDHS, every 3 years
NT Program, annual","26.%, UESD 2010
18%, BDHS 2007
19.9%, UESD 2010
20.6%, BDHS 2007
20.9%, UESD 2010
18.5%, BDHS 2007
61.7%, UESD 2010
55.8%, BDHS 2007
17.1%. BDHS 2007
82.4%, CES 2009
38.0%, UESD 2010
37.1%, BDHS 2007
82.6%, UESD 2010
88.3%, BDHS 2007
74%, NTP 2009","34.4%, UESD 2013
25.0%, UESD 2013
27.6%, UESD 2013
62.0%, UESD 2013
13.5%, BDHS 2011
81.9%, UESD 2013
87.0%, UESD 2013
74.8%, UESD 2013
99 per 100,000
people, Health
Bulletin 2012",
Result 1.2: Improved equity in essential HPN service utilizatio,"n (MDG 1, 4, 5, and 6)",,,
,"BDHS, every 3 years
BDHS, every 3 years
DSF Monitoring
Reports, annual","Q1:Q5=8.0:59.5,
UESD 2010
Q1:Q5=4.4:43.4,
BDHS 2007
Sylhet: 35.7%,
Chittagong: 46.8%,
UESD 2010 Sylhet:
24.7%, Ctg: 38.2%,
BDHS 2007
31 DSF upazilas
(+9 universal), DSF
Monitoring Report
2010","14.3:57.2=(1:4),
UESD 2013
Sylhet: 39.4%,
Chittagong: 43.9%,
UESD 2013
73, APIR 2013",
