0,1,2
Duration,"No. of
batches","No. of
participants"
"2 days
3 days
2 days
2 days
2 days
15 days
7 days","11
56
20
22
20
14
5","275
1400
524
550
500
350
130"
,428,9585
"1 day
Gross
6 days
5 days
6 days
3 days
1-5 days
3-7 days","40
0
25
24
8
5
31
6","919
0
437
428
211
97
658
118"
,139,2868
,1219,27665
"1- 4 weeks
1- 4 weeks
3-6 months
More than 6
months","12
2
12
0","100
21
95
0"
,,
"1-4 weeks
More than 6
months","12
0","120
0"
,,
"1- 4 weeks
1- 4 weeks","-
0","225
0"
,38,561
"1- 7 days
1- 7 days
1- 7 days
1- 7 days","0
0
0
0","0
0
0
0"
,0,0
,1257,28226
