0,1,2
"Code
no.",Name of college,"No. of
seats"
"85
86
87
88
89
90
91
92
93","Moonno Medical College, Manikganj
Central International Medical College, 2/1 Ring Road, Shyamoli, Dhaka
Dr. Sirajul Islam Medical College, Mogbazar, Dhaka
Marks Medical College, Mirpur, Dhaka
Moinamoti Medical College, Baropara, Comilla
Ad-din-Sakina Medical College, 15, Rail Road, Jessore
Gazi Medical College, Sonadanga, Khulna
Barind Medical College, Shershah Road, Laksumpur, Rajshahi
City Medical College, Eta Hata, Block-B, Tangail Road, Gazipur","70
70
70
50
70
50
75
65
70"
