0,1,2,3,4,5
Program,,Frequency,Source,Organizer,Number
1.,,Weekly,Personal Donation,Asst. Prof. Dr. Sabina Karim,52 times
,,Twice monthly,World Child Cancer,Family Support Officer,20 times
