0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,,,,,,,,,,,,,,
Emergency Department (2023),,,,,,,,,,,,,,,,,
Month,,"Total patients attended in
Emergency",,,,,"Patients
observed","Patients
admitted",Death,,,,Biopsy OT,,,Gynae Dept,
,,,Category,,,,,,Total,M,F,C,Minor OT,Biopsy,,"Secondary
closure",Others
,,,M,F,C,,,,,,,,,,,,
January,,760,378,360,22,,90,,11,06,04,01,81,"Core-61
Exci-07
Wedge-13
other-0",,01,
February,,795,400,366,29,,90,,09,05,04,,78,"Core-57
Exci-10
Wedge-10
A.canal-01",,05,
March,,902,434,415,53,,95,,09,04,05,,103,"Core-80
Exci-15
Wed-08",,07,
April,,714,315,324,75,,92,14,09,05,04,,70,"Core-55
Exci-10
Wed-04
A. canal-",,02,01
May,,832,433,346,53,,95,15,14,07,06,01,98,"Core-74
Exci-15
Wed-09",,01,
June,,715,378,288,59,,80,05,10,08,02,,118,"Core-90
Exci-09
Wed-18
Anal canal-01",,04,
July,,906,424,404,78,,115,,11,06,05,,110,"Core-95
Exci- 16
Wed- 11
A. canal-03",,02,
Aug,ust,898,445,388,65,,115,06,21,09,09,03,120,"Core-97
Exci-10
wed-11
A.canal-03",,04,01
September,,788,376,350,62,,91,06,20,12,05,03,95,"Core-70
Exci-10
Wed-13
A.Canal-02",,02,
October,,863,400,380,83,,103,07,18,09,08,01,122,"Core-95
Exci-16
Wed-06
Anal canal-05",,03,
November,,880,427,350,103,,120,10,18,10,07,01,95,"Core-68
Ex-21
In-06
A/C-0",,-,-
December,,1007,477,460,70,,101,11,11,05,06,00,75,"Core-58
Ex-12
In-04
A/C-01",,04,-
Gra,nd total,10062,,,,,1187,74,161,86,65,10,1165,"Core-895
Ex-142
In-113
A/C-15",,35,02
