id,display_name,concept_class,source,latest_source_version
VD56,Health problems causing family problems [WHODAS],Finding,ICD-11-MMS,2025-01
VD55,Health drain on financial resources [WHODAS],Finding,ICD-11-MMS,2025-01
VD54,Emotional effect of health condition [WHODAS],Finding,ICD-11-MMS,2025-01
VD53,Time spent on health condition [WHODAS],Finding,ICD-11-MMS,2025-01
VD52,Human rights [WHODAS],Finding,ICD-11-MMS,2025-01
VD51,Problems by barriers [WHODAS],Finding,ICD-11-MMS,2025-01
VD50,Recreation and leisure [WHODAS],Finding,ICD-11-MMS,2025-01
VD43.Z,"Remunerative employment [WHODAS], unspecified",Finding,ICD-11-MMS,2025-01
VD43.Y,Other specified remunerative employment [WHODAS],Finding,ICD-11-MMS,2025-01
VD43.3,Getting remunerative work or school work done quickly [WHODAS],Finding,ICD-11-MMS,2025-01
VD43.2,Getting all needed work or school work done [WHODAS],Finding,ICD-11-MMS,2025-01
VD43.1,Doing most important work or school task [WHODAS],Finding,ICD-11-MMS,2025-01
VD43.0,Difficulties in daily work or school [WHODAS],Finding,ICD-11-MMS,2025-01
VD43,Remunerative employment [WHODAS],Finding,ICD-11-MMS,2025-01
VD42.Z,"Doing housework [WHODAS], unspecified",Finding,ICD-11-MMS,2025-01
VD42.Y,Other specified doing housework [WHODAS],Finding,ICD-11-MMS,2025-01
VD42.1,Getting household work done quickly [WHODAS],Finding,ICD-11-MMS,2025-01
VD42.0,Getting all needed housework done [WHODAS],Finding,ICD-11-MMS,2025-01
VD42,Doing housework [WHODAS],Finding,ICD-11-MMS,2025-01
VD41,Doing most important household tasks [WHODAS],Finding,ICD-11-MMS,2025-01
VD40,Taking care of household responsibilities [WHODAS],Finding,ICD-11-MMS,2025-01
VD34,Intimate relationships [WHODAS],Finding,ICD-11-MMS,2025-01
VD33,Informal relationship with friends - making new friends [WHODAS],Finding,ICD-11-MMS,2025-01
VD32,Family relationships [WHODAS],Finding,ICD-11-MMS,2025-01
VD31,Informal relationship with friends - maintaining [WHODAS],Finding,ICD-11-MMS,2025-01
VD30,Relating with strangers [WHODAS],Finding,ICD-11-MMS,2025-01
VD23,Carrying out daily routine [WHODAS],Finding,ICD-11-MMS,2025-01
VD22,Eating [WHODAS],Finding,ICD-11-MMS,2025-01
VD21,Dressing [WHODAS],Finding,ICD-11-MMS,2025-01
VD20,Washing oneself [WHODAS],Finding,ICD-11-MMS,2025-01
VD14,Walking [WHODAS],Finding,ICD-11-MMS,2025-01
VD13,Moving around outside the home and other buildings [WHODAS],Finding,ICD-11-MMS,2025-01
VD12,Moving around within the home [WHODAS],Finding,ICD-11-MMS,2025-01
VD11,Changing body position - standing [WHODAS],Finding,ICD-11-MMS,2025-01
VD10,Maintaining a standing position [WHODAS],Finding,ICD-11-MMS,2025-01
VD05,Conversation [WHODAS],Finding,ICD-11-MMS,2025-01
VD04,Communicating with - receiving - spoken messages [WHODAS],Finding,ICD-11-MMS,2025-01
VD03,Basic learning [WHODAS],Finding,ICD-11-MMS,2025-01
VD02,Solving problems [WHODAS],Finding,ICD-11-MMS,2025-01
VD01,Memory functions [WHODAS],Finding,ICD-11-MMS,2025-01
VD00,Attention functions [WHODAS],Finding,ICD-11-MMS,2025-01
V,Supplementary section for functioning assessment,Finding,ICD-11-MMS,2025-01
ST2Z,"Varmam and Marmam patterns (TM2), unspecified",Diagnosis,ICD-11-MMS,2025-01
ST2Y,Other specified varmam and Marmam patterns (TM2),Diagnosis,ICD-11-MMS,2025-01
ST20,Injury pattern in the varmam or marmam (TM2),Diagnosis,ICD-11-MMS,2025-01
ST1Z,"Body constitution and temperament patterns (TM2), unspecified",Diagnosis,ICD-11-MMS,2025-01
ST1Y,Other specified body constitution and temperament patterns (TM2),Diagnosis,ICD-11-MMS,2025-01
ST11,Predominance of dryness pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST10,Predominance of moistness pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST0X,Predominance of coldness pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
ST0W,Predominance of hotness pattern (TM2),Diagnosis,ICD-11-MMS,2025-01
