0,1,2
Division,2019,2020*
Barisal,950,352
Chittagong,2667,1089
Dhaka,2954,1260
Khulna,1768,608
Rajshahi,1199,505
Rangpur,922,290
Sylhet,607,173
Total,11632,4277
