0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
"n
o
is
i",District,"s
e
sa
c
l",Measles Cases,,,Clinically,Rubella Cases,,,Discarded Cases,"ro
f g n id n o ita
n e c if",Incidence,,Discarded Rate
,,,Lab,E p i-,,,Lab,E p i -,,Both Negative,,"Incidence per 1
million
population",,"Non-measles non-
rubella discarded
rate per 100,000 pop"
"v
iD",,"a
to
T",confirmed,linked,Total,compatible,confirmed,linked,Total,(Discarded),"pis
s sa
e lc
sa
C","s
e
lsa
e
M","a
lle
b
u
R","s
u
ta
ts
tc
ir
ts
iD"
"L
A
S
IR
A
B",BARGUNA,54,2,0,2,1,0,0,0,38,13,2.40,0.00,4.57
,BARISAL,54,1,0,1,2,0,0,0,35,16,0.54,0.00,1.88
,BARISAL CC.,19,0,0,0,1,0,0,0,8,10,0.00,0.00,2.61
,BHOLA,64,4,0,4,1,0,0,0,29,30,2.41,0.00,1.75
,JHALAKATI,25,2,0,2,1,0,0,0,12,10,3.14,0.00,1.89
,PATUAKHALI,95,6,0,6,1,0,0,0,46,42,4.19,0.00,3.21
,PEROJPUR,41,1,0,1,1,1,0,1,28,10,0.96,0.96,2.70
,BARISAL,352,16,0,16,8,1,0,1,196,131,2.06,0.13,2.53
"G
N
O
G
A
T
T
IH
C",BANDARBAN,97,25,39,64,2,0,0,0,15,16,176.79,0.00,4.14
,BRAHMANBARIA,191,4,0,4,2,1,0,1,16,168,1.51,0.38,0.60
,CHANDPUR,101,8,0,8,11,0,0,0,26,56,3.55,0.00,1.15
,CHITTAGONG,65,15,0,15,0,1,0,1,13,36,3.20,0.21,0.28
,CHITTAGONG CC.,78,20,0,20,0,0,0,0,16,42,8.30,0.00,0.66
,COMILLA,81,9,0,9,8,1,0,1,34,29,1.91,0.21,0.72
,COMILLA CC.,5,0,0,0,0,0,0,0,2,3,0.00,0.00,0.66
,COX'S BAZAR,128,7,0,7,1,1,0,1,12,107,3.28,0.47,0.56
,FENI,18,0,0,0,0,0,0,0,8,10,0.00,0.00,0.60
,KHAGRACHARI,132,11,92,103,0,0,0,0,24,5,179.97,0.00,4.19
,LAKSHMIPUR,102,19,0,19,6,0,0,0,4,73,11.79,0.00,0.25
,NOAKHALI,66,6,0,6,7,2,0,2,7,44,2.07,0.69,0.24
,RANGAMATI,25,4,0,4,0,0,0,0,9,12,7.20,0.00,1.62
,CHITTAGONG,1089,128,131,259,37,6,0,6,186,601,9.77,0.23,0.70
"A
K
A
H
D",DHAKA,86,4,0,4,32,1,0,1,9,40,0.86,0.21,0.19
,DHAKA NORTH CC.,197,5,0,5,86,1,0,1,37,68,1.36,0.27,1.00
,DHAKA SOUTH CC.,181,8,0,8,81,2,0,2,15,75,2.79,0.70,0.52
,FARIDPUR,79,5,0,5,3,1,0,1,4,66,2.80,0.56,0.22
,GAZIPUR,57,5,0,5,12,2,0,2,14,24,2.96,1.18,0.83
,GAZIPUR CC.,40,4,0,4,11,3,0,3,3,19,2.70,2.02,0.20
,GOPALGANJ,47,3,0,3,4,0,0,0,18,22,2.74,0.00,1.65
,KISHOREGANJ,41,1,0,1,7,0,0,0,9,24,0.37,0.00,0.33
,MADARIPUR,46,3,0,3,7,1,0,1,19,16,2.76,0.92,1.75
,MANIKGANJ,19,0,0,0,2,0,0,0,6,11,0.00,0.00,0.46
,MUNSHIGANJ,48,1,0,1,14,0,0,0,4,29,0.74,0.00,0.30
,NARAYANGANJ,61,2,0,2,27,0,0,0,17,15,0.96,0.00,0.81
,NARAYANGANJ CC.,4,0,0,0,0,0,0,0,1,3,0.00,0.00,0.15
,NARSINGDHI,66,7,0,7,11,0,0,0,20,28,3.37,0.00,0.96
,RAJBARI,32,2,0,2,1,1,0,1,11,17,2.04,1.02,1.12
,SARIATPUR,41,2,0,2,3,0,0,0,26,10,1.86,0.00,2.41
,TANGAIL,72,7,0,7,4,2,0,2,19,40,2.08,0.60,0.57
,DHAKA,1117,59,0,59,305,14,0,14,232,507,1.74,0.41,0.68
"A
N
L
U
H
K",BAGERHAT,60,4,0,4,0,0,0,0,22,34,2.91,0.00,1.60
,CHUADANGA,13,2,0,2,0,1,0,1,2,8,1.90,0.95,0.19
,JESSORE,116,26,16,42,3,4,0,4,24,43,16.30,1.55,0.93
,JHENAIDAH,64,15,2,17,1,0,0,0,8,38,10.30,0.00,0.48
,KHULNA,30,3,0,3,0,0,0,0,12,15,1.94,0.00,0.78
,KHULNA CC.,6,0,0,0,0,0,0,0,0,6,0.00,0.00,0.00
,KUSHTIA,65,7,0,7,2,0,0,0,17,39,3.86,0.00,0.94
,MAGURA,46,4,0,4,2,0,0,0,13,27,4.67,0.00,1.52
,MEHERPUR,43,0,0,0,1,0,0,0,5,37,0.00,0.00,0.82
,NARAIL,125,11,0,11,0,4,0,4,12,98,16.35,5.95,1.78
,SATKHIRA,40,6,0,6,0,3,0,3,6,25,3.24,1.62,0.32
,KHULNA,608,78,18,96,9,12,0,12,121,370,6.56,0.82,0.83
