0,1,2,3,4
,10.,"Comparison of
hypofractionated radiation
therapy versus conventional
radiation therapy in post
mastectomy breast cancer
patients at NICRH","Prof. Dr. Swapan Kumar
Bandyopadhyaa",15-16
,11.,"Evaluation of Estrogen
receptor (ER), Progesterone
receptor (PR) and Human
Epidermal Growth factor
receptor 2 (HER 2) and their
relationship with recurrence
in carcinoma breast patients
at NICRH",Prof. Dr. Laila Shirin,17-18
,12.,"Relationship between HPV-
DNA status with recurrence in
post-radiotherapy patients of
advanced cervical cancer",Dr. Sirajum Monira,19
,13.,"Short-term evaluation of
bowel dysfunction after
anterior resection for
carcinoma rectum or
rectosigmoid junction","Dr. Md. Abdul Munim
Sarker",20-21
"(C) Institute of
Epidemiology, Disease
Control and Research
(IEDCR)",14.,"Detection of Multidrug
resistance bacteria causing
Health Care Associated
wound infection in patients
admitted in a specialized burn
hospital of Dhaka","Prof. Dr. TahminaShirin
PhD
Director , IEDCR",22-24
,15.,"Circulating Dengue virus
serotype among the admitted
patients in selected
hospitals of Dhaka city in the
pre-monsoon period, 2022","Prof. Dr. TahminaShirin
PhD
Director , IEDCR",25-26
"(D) Institute of Public
Health (IPH)",16.,"Assessment of fecal
contamination in multiple
water samples associated
with diarrhea in urban
communities of Dhaka city","Dr. Rasheda Sultana,
Director , IPH& Head
NFSL, IPH",27
"(E) National Institute of
Preventive and Social
Medicine (NIPSOM)",17.,"Association of Diabetes Self
Care Management with
Glycaemic Control among
Adults with Type2 Diabetic
Patients of Bangladesh","Dr. Ummul Khair Alam,
Assistant Professor,
NIPSOM",28-29
