0,1,2,3,4
,"Evidence Generation,",,Partnership and Participation,Equity Responsive Service Delivery
,Policy Dialogue and,,,
,Advocacy,,,
"Mothers@Work
Programme",,,"Support in revitalization of Bangladesh
National Nutrition Council (BNNC) and
establishment of District Nutrition
Coordination Committees (DNCC) and
Upazila Nutrition Coordination Committees
(UNCC).","Capacity building support for
community health workers and
upazila and district officials"
"Advocacy and
assistance in
amendment of the Salt
Act.",,,"Support nutrition campaigns and
implementation of C4D strategies",Appointment of DNSOs/DNCs
"Support in adolescent
friendly health services
through adolescent clubs",,,"Enhance engagement and coordination
between multiple stakeholders
coordinating mechanisms",Support in strengthening MIS
,,,,"Infrastructure support to health
facilities (including height and weight
scale, MUAC tape, supplements)"
,,,,"Establishment of breastfeeding
corners in health facilities"
