0,1,2,3,4
Indicator,2007,2011,2014,2017-18
Maternal and new born care,,,,
"ANC from a medically trained provider (percentage of
women receiving at least one ANC from a medically trained
provider)",55%,53%,64%,82%
ANC-4+ (percentage of women receiving 4 or more ANC),22%,26%,31%,47%
"Medically trained provider, by place of delivery (percentage
of deliveries in last three years)",21%,32%,42%,53%
"Facility deliveries by poorest wealth quintiles (percentage of
facility deliveries in the last three years)",6%,10%,15%,26%
"Facility deliveries by richest wealth quintiles (percentage of
facility deliveries in the last three years)",49%,60%,70%,78%
"Caesarean Section (percentage of deliveries in last three
years)",9%,17%,23%,33%
"Postnatal care for mothers (percentage of mothers
receiving care from medically trained providers within 2
days of delivery)",20%,27%,34%,52%
