0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
,,,,,,,Outdoor patients (No.),,,,,,,,,,,,Average,,d,Average,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,l,Average,,,Bed,
,Year,,,Admission,,,,,,,,,,,,,,,daily,,,aily OPD,,,ength of,,,occupancy,
,,,,Total,,,Male,,,Female,,,Child,,,Total,,,admission,,,patients,,,,,,,
,,,,,,,,,,,,,,,,,,,(No.),,,(No.),,,stay (d),,,rate%,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,17081,,,52740,,,29532,,,4674,,,86944,,,47,,,238,,,6.91,,,129.63,,
2003,,,20083,,,54550,,,31939,,,5150,,,91639,,,55,,,251,,,7.07,,,157.76,,
2004,,,21522,,,56482,,,31250,,,4857,,,92589,,,59,,,253,,,6.90,,,164.03,,
2005,,,22419,,,59950,,,34608,,,5497,,,100055,,,62,,,274,,,6.46,,,160.39,,
2006,,,24376,,,61565,,,34861,,,6060,,,102486,,,67,,,281,,,6.47,,,175.80,,
2007,,,29147,,,76732,,,41792,,,7417,,,125941,,,80,,,345,,,5.48,,,174.80,,
