0,1,2,3,4,5,6,7,8
,Level,,,Designation of Manager,,,Responsibility,
National,,,Director General,,,"Looks after overall administration and implementation for health
services",,
,,,Additional Directors General,,,Assist Director General,,
,,,Directors of DGHS,,,Assist Director General,,
,,,Line Directors,,,Implement respective Operational Plan of HNPSP,,
,,,Project Directors,,,Implement respective project under HNPSP,,
,,,Program Managers,,,Assist respective Line Director,,
,,,Deputy Program Managers,,,Assist respective Program Manager,,
,,,"Directors of different National
Institutions",,,Administer and manage respective national level institution,,
Regional,,,Principals of academic institutions,,,"Administer and manage respective medical college, institute of health
technology, medical assistants’ training school, etc.",,
,,,"Directors of medical college
hospitals",,,Administer and manage respective medical college hospital,,
Division,,,Divisional Directors for health,,,"Administer and supervise activities of health managers at district and
lower levels",,
District,,,Civil Surgeons ( CS),,,"Implement, administer and manage health programs of district
level. In some cases, look after district ho spital",,
,,,Superintendents,,,"Administer and manage respective sadar hospital, general hospital,
mental hospital, chest hospital, etc.",,
Upazila,,,"Upazila Health & Family Planning
Officers (UHFPO)",,,"Implement, administer and manage health programs of upazila level.
Run respective upazila health complex",,
Union,,,Health Inspectors/Assista nts Health Inspectors,,,Manage and supervise health programs at union level and below,,
