0,1
"Workshop, Seminar, etc.",
"Workshop on Accreditation and
assessment Procedure, Dissertation
writing, Information technology &
Communication Skill development,
Curriculum development, Research
methodology, OSPE & OSCE, Examination
and assessment procedure for 40 subject",141
"Training on Outbreak Investigation for One
Week",176
"Training on Laboratory Diagnosis of
emerging and reemerging diseases for one
week",112
"Certificate Course on Clinical Epidemiology
for three months",15
"Microbiological Lab Training of the Lab
personnel",304
"TOT for Doctors on advanced ESD clinical
skills training course on Reproductive
Health",27
"TOT for Doctors on advanced ESD clinical
skills training course on Child Health care",23
Training on Complementary Feeding,27
"Breastfeeding counseling for health care
providers",12
"TOT on Nutrition Program, Planning and
Management",12
"Breastfeeding counseling for health care
providers",11
"Continuation of ongoing Training on
Epidemiology and Bio-Statistics using SPSS
with Cambridge University (Data analysis)
and linkage with NIPSOM",2
Total partic ipants in local training,12371
"Source: Line Director, IST, DGHS, Mohakhali, Dhaka",
