0,1,2,3,4,5,6,7,8,9,10,11
Heads,,,Figures are in ‘000 Taka,,,,,,,,
,,,Budget FY 2008-2009,,,Revised FY 2007-2008,,,Budget FY 2007-2008,,
,,,,,,,,,,,
"Administration (Secretariat, autonomous bodies,
international organizations)",,,"1080,18,01",,,"744,69,91",,,"726,18,03",,
"DGHS (DGHS, divisional offices, civil surgeons’
offices, UHFPO offices, Drug Administration,
Directorate of nursing services)",,,"544,95,62",,,"464,54,97",,,"464,33,82",,
"Medical education (medical colleges, paramedical
institutions, MATS, dental colleges, nursing
institutes, alternative medical colleges, CME)",,,"123,51,18",,,"101,90,67",,,"102,08,57",,
"Hospitals (medical college hospitals, district
hospitals, general hospitals, upazila hospitals, dental
college hospitals)",,,"951,50,26",,,"806,36,14",,,"788,64,90",,
"Specialized hospitals (p ostgraduate institute
hospitals)",,,"183,87,17",,,"134,29,74",,,"127,59,99",,
Public health (epidemic disease control),,,"2,11,29",,,"1,72,62",,,"1,79,28",,
"Clinics and health centers (TB clinics, school health
clinics, other centers)",,,"27,37,98",,,"23,63,74",,,"23,65,96",,
"Family planning (DGFP, division FP offices, district
FP offices, upazila FP offices, hospital and
dispensaries, other population control services)",,,"752,18,01",,,"633,27,44",,,"641,30,69",,
,,,,,,,,,,,
,Total MOHFW,,,"3665,69,52",,,"2910,45,23",,,"2875,61,24",
,,,,,,,,,,,
