0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,TANGAIL,199,92,0,0,13,0,92,5,0,0,5,89,0,0,89,0,21.9,1.2,2.12
,DHAKA,2954,1202,264,195,257,10,1661,42,1,0,43,938,240,0,1178,0,34.5,1.0,2.77
"A
N
L
U
H
K",BAGERHAT,193,78,26,18,19,0,122,2,0,0,2,66,2,0,68,0,61.0,1.2,3.90
,CHUADANGA,120,51,1,0,3,12,52,2,0,0,2,47,4,0,51,0,39.5,1.5,3.88
,JESSORE,140,57,0,0,18,0,57,4,0,0,4,54,5,2,61,0,17.7,1.2,1.89
,JHENAIDAH,260,94,77,67,15,1,238,5,1,0,6,58,9,0,67,0,82.9,2.9,3.25
,KHULNA,133,61,10,0,12,0,71,0,0,0,0,47,3,0,50,0,36.8,0.0,2.59
,KHULNA CC.,31,20,0,0,4,0,20,0,0,0,0,7,0,0,7,0,25.9,0.0,0.91
,KUSHTIA,210,65,35,30,9,3,130,1,1,0,2,76,9,11,96,0,44.1,0.9,4.23
,MAGURA,367,88,122,108,26,23,318,9,1,0,10,83,15,0,98,0,196.2,9.3,9.16
,MEHERPUR,78,18,0,0,0,0,18,0,0,0,0,29,10,21,60,0,23.6,0.0,7.86
,NARAIL,143,26,9,7,28,0,42,2,0,0,2,75,3,0,78,0,41.6,2.4,9.28
,SATKHIRA,93,20,6,2,13,0,28,1,0,0,1,51,2,0,53,0,11.2,0.4,2.29
,KHULNA,1768,578,286,232,147,39,1096,26,3,0,29,593,96,0,689,0,47.3,1.6,3.76
