0,1
Table 4.5. Total number of colposcopy tests done in 2016 at different institutions,
Name of institution,Number (%) of colposcopy tests
Bangabandhu Sheikh Mujib Medical University,"2,576 (28.00)"
Rajshahi Medical College Hospital,"1,159 (12.60)"
Chittagong Medical College Hospital,"1,344 (14.00)"
Khulna Medical College Hospital,768 (8.50)
"Sher-e-Bangla Medical College Hospital, Barisal",387 (4.20)
Faridpur Medical College Hospital,326 (3.50)
"MAG Osmani Medical College Hospital, Sylhet",256 (2.80)
Mymensingh Medical College Hospital,372 (4.00)
Dhaka Medical College Hospital,378 (4.50)
Dinajpur Medical College Hospital,156 (2.00)
Comilla Medical College Hospital,358 (4.00)
Rangpur Medical College Hospital,398 (4.50)
Shaheed Suhrawardy Medical College Hospital,28 (0.40)
Sir Salimullah Medical College & Mitford Hospital,166 (1.80)
"Shaheed Ziaur Rahman Medical College Hospital, Bogra",154 (1.60)
Failure to attend,329 (3.60)
Total,"9,155 (100)"
Source: Cervical and Breast Cancer Screening Program,
