0,1,2,3
"Table 5.15. Private junior midwifery institutions, with number of seats in each (June 2017)",,,
Division,Name of private junior midwifery institutions,,"No. of
seats"
Chittagong,1.,"Junior Midwifery Institute, Red Crescent Matrisadan Hospital,
Chandpur",20
,2.,"Jemison Red Crescent Midwifery Institute, Agrabad, Chittagong",50
,3.,"Christian Hospital, Chandraghona, Rangamati",20
,4.,"Junior Midwifery Institute, Memon Hospital, City Corporation,
Chittagong",30
Dhaka,5.,"Junior Midwifery Institute, Holy Family Red Crescent Hospital,
Dhaka",60
,6.,"Junior Midwifery Institute, Shaheed Moyez Uddin Memorial Red
Crescent Matrisadan Hospital, Banglabazar, Dhaka",20
,7.,"Junior Midwifery Institute, Kumudini Hospital, Mirzapur, Tangail",20
,8.,"Central Hospital Nursing Institute, Green Road, Dhanmondi,
Dhaka",20
Khulna,9.,"Junior Midwifery Institute Ad-Din Matrisadan Hospital, Jessore",20
,10.,"Junior Midwifery Institute, Fatema Hospital, Jessore",20
Rajshahi,11.,"Junior Midwifery Institute, Christian Hospital, Bogra",20
Rangpur,12.,"Prime Nursing College, Rangpur",20
Mymensingh,13.,"Scabo Nursing College, Mymensingh",40
,,Total seats,360
