0,1,2,3,4
Table Continued...,,,,
SDG target,"Name of the
indicator","Target to be
achieved by
2030","Baseline value
for Bangladesh","National target (HNPSIP
2016-2021 and other
strategic documents)"
"3.6: Road-
traffic
injuries","3.6.1: Deaths
due to road-
traffic accidents/
Mortality rate
from road-
traffic injuries
(per 100,000
population)","By 2020, halve
the number of
global deaths
and injuries
from road-traffic
injuries","According to
World Bank
statistics, annual
fatality rate from
road accidents is
found to be 85.6
fatalities per
10,000 vehicles
(WB, World
Development
Indicators 2002)
According to
the Accident
Research Institute
(ARI), Bangladesh
University of
Engineering
and Technology
(BUET), road
accidents claim,
on average,
12,000 lives
annually and lead
to about 35,000
injuries (Road
Safety Facts 2012
through 2014)","Committed to global
targets"
"3.7: Sexual
and
reproductive
health","3.7.1: Proportion
of women married
or in a union of
reproductive age
(aged 15-49 years)
who have their
need for family
planning satisfied
with modern
methods (met
need)
Unmet need for
family planning","By 2030, ensure
universal access
to sexual and
reproductive
healthcare
services,
including for
family planning,
information and
education, and
the integration
of reproductive
health into
national
strategies and
programs","12%, for
limiting and 5%
for birth spacing","Reduce unmet need to
7% by 2021 (FP 2020
commitment, Govt. of
Bangladesh)"
,"3.7.2: Adolescents’
childbirth rate per
1,000 adolescent
women aged 15-
19 years","Universal access
to sexual and
reproductive
healthcare by
2030","30.8% in 2014
(BDHS)","25% by 2021 (HNPSIP
2016-2021)"
Table 3.3. Contd.,,,,
