0,1,2,3,4,5
"Table 8.2. Allocation, release, expenditure, and utilization in FY 2016-2017 for different
investment projects",,,,,
Investment Project,"Allocation
(BDT in
lakh)","Release
(BDT in
lakh)","Expense
(BDT in
lakh)","Utiliza
tion rate
of allo
cation
(%)","Utiliza
tion rate
of released
funds
(%)"
"Sheikh Hasina National Institute of
Burn and Plastic Surgery, Dhaka","10,280.00","10,280.00","10,000.49",97.28,97.28
"Est. of 250-bedded National
Ophthalmology Inst. and Hospital
(1st Phase: 250 beds)","1,827.00",16.00,8.17,0.45,51.04
"Upgradation of National Institute of
Cancer Research and Hospital from
50 beds to 300 beds","1,816.00","1,626.76","1,538.15",84.70,94.55
"Establishment of National Institute of
Laboratory Medicine and Referral
Centre","1,669.00","1,669.00","1,345.41",80.61,80.61
"Establishment of Sheikh Sayera
Khatun Medical College and Hospital
and Nursing Institute, Gopalganj","8,000.00","8,000.00","7,981.06",99.76,99.76
"Establishment of Satkhira Medical
College & Hospital","5,200.00","5,200.00","5,199.00",99.98,99.98
"Establishment of Faridpur Medical
College & 500-bedded Hospital","18,481.00","18,181.13","16,297.41",88.18,89.64
"National Institute of Digestive
Diseases Research & Hospital","3,282.00","3,282.00","2,414.39",73.56,73.56
"Establishment of Kushtia Medical
College and Hospital Project","2,050.00","2,000.00","1,999.88",97.56,99.99
"Establishment of Shaheed Sayed
Nazrul
Islam Medical College, Kishoreganj","19,314.00","8,048.22","8,048.22",41.67,100.00
"Extension of Shaheed Sheikh Abu
Naser Specialized Hospital, Khulna","2,000.00",385.00,385.00,19.25,100.00
"Establishment of Trauma Center at
Gopalganj",250.00,50.00,0.00,0.00,0.00
"Extension of National Institute
of Orthopedic Hospital and
Rehabilitation (NITOR) Center","10,000.00","10,000.00","8,799.97",88.00,88.00
"Establishment of Jamalpur Medical
College
& Hospital, Jamalpur Nursing College",0.00,0.00,0.00,0.00,0.00
"Establishment of Patuakhali Medical
College & Hospital","6,800.00",82.48,82.48,1.21,100.00
Table 8.2. Contd.,,,,,
