0,1,2,3,4,5,6,7,8,9
"6102–2102
,sITT
htiw
doolb
rof
troper
gnineercS
.12.01
elbaT","segatnecrep
dna
.on
htiw
noitcejer
fo
sesuaC","fo latot
eht
%",,110.0,710.0,700.0,110.0,500.0,010.0
,,lairalaM setisarap,.oN,85,89,84,27,03,603
,,,%,470.0,790.0,611.0,980.0,011.0,890.0
,,silihpyS,.oN,993,375,457,506,096,"120,3"
,,,%,521.0,101.0,170.0,111.0,930.0,880.0
,,"C
sititapeH",.oN,676,795,264,257,642,"337,2"
,,,%,339.0,378.0,848.0,997.0,218.0,948.0
,,"B
sititapeH",.oN,"250,5","481,5","925,5","824,5",0115,"303,62"
,,,%,010.0,600.0,110.0,700.0,700.0,800.0
,,VIH,.oN,65,73,47,64,74,062
,,,%,251.1,390.1,450.1,610.1,279.0,450.1
,"detcejer
fo stinu
.oN",,,"142,6","984,6","768,6","309,6","321,6","326,23"
,"stinu
detset
fo
.oN",,,"286,145","477,395","817,156","186,976","626,926","184,690,3"
,raeY,,,2102,3102,4102,5102,6102,latoT
