0,1,2,3,4
"SI.
no.",Division,Name of institution,"Year of
establishment","No. of
seats"
80,,"Confidance Medical Institute (CME), Manikganj,
Manikganj Bus Stand, Manikganj",2013,50
81,,"Alta Medical Assistant Training School, (UMATS),
Shewrapara, Mirpur, Dhaka",2015,50
82,,"Army Medical Core Centre and School, Ghatail
Senanibas, Tangail",2013,650
83,,"Lake View Medical Assistant Training School, (Lake
View-MATS), Tepakhola Bus Stand, Lakpara Faridpur",2015,50
84,,"Community Medical Assistant Training Institute,
Barisal Road, Kazi Furniture Bhabon, Faridpur",2012,50
85,,"IACIB Medical Assistant Training School, Jinjira,
Savar, Dhaka",2013,50
86,,"MR Medical Assistant Training School, Lalmatia,
Block-A, Dhaka",2013,50
87,,"GTN Medical Assistant Training School and
Medical Technology, Sadar Hospital Road, Gazipur",2013,50
88,,"Pacific Medical Assistant Training School, New Bus
Stand, Dewla, Tangail",2015,50
89,,"Uniq Medical Assistant Training School, Shakhipur,
Tangail",2012,50
90,,"Trust Medical Assistant Training School, Kalabagan,
Dhanmondi, Dhaka",2015,50
91,,"Shah Faridpur Medical Assistant Training School,
Faridpur",2013,50
92,,"Savar Central Medical Assistant Training Institute,
Talbag, Savar, Dhaka",2015,50
93,,"Institute of Medical and Dental Technology and
MATS, Milk Vita Road, Dewla, Tangail",2015,50
94,,"Ittehad Medical Assistant Training School, Rokeya
Soroni, Mirpur, Dhaka",2015,50
95,,"Institute of Health and Development Item Welfare
Organization Medical Assistant Training School,
Shayamoli, Dhaka",2012,50
96,,"Arrow Medical Institute, BF, Dhaka Cantonment",2015,50
97,,"Polly Shastho Medical Assistant Trainnig School,
Manikganj Sadar, Manikganj",2011,50
98,,"Mawna Medical Assistant Training School, Mawna
Chowrasta Sreepur, Gazipur, Dhaka",2013,50
99,,"Professor Sohrab Uddin Institute of Medical
Assistant, Sablia, Tangail",2010,140
