0,1,2,3,4
Table Continued...,,,,
SDG target,"Name of the
indicator","Target to be
achieved by
2030","Baseline value
for Bangladesh","National target (HNPSIP
2016-2021 and other
strategic documents)"
"3.8:
Universal
health
coverage","3.8.1: Coverage of
essential health
services
Total fertility rate","Achieve universal
health coverage,
including
financial risk
protection,
access to
quality essential
healthcare
services and
access to safe,
effective, quality
and affordable
essential
medicines and
vaccines for all","2.3 in 2014
(BDHS)","1.7 by 2021(HNPSIP
2016-2021)"
,"Contraceptive
prevalence rate
(CPR)","Achieve universal
health coverage","62.4 in 2014
(BDHS)","75% by 2021, CPR in
lagging region: 60% by
2021 (HNPSIP 2016-2021)"
,ANC 4 coverage,"Achieve universal
health coverage","31.2
(BDHS 2014)","ANC 4 coverage 50% by
2021 (HNPSIP 2016-2021)"
,"Measles
immunization
coverage","Achieve universal
health coverage","86.6% (CES
Report 2014)",95% (HNPSIP 2016-2021)
,"% of children
aged less than 6
months receiving
exclusive
breastfeeding","Achieve universal
health coverage","55.3%
(BDHS 2014)",65 % (HNPSIP 2016-2021)
,"% of infants aged
6-23 months are
fed with minimum
acceptable diet","Achieve universal
health coverage","22.8% (BDHS
2014)",45 % (HNPSIP 2016-2021)
,"Estimated
prevalence of
diabetes and
hypertension
among adult men
and women aged
35 years and older","Achieve universal
health coverage","Diabetes: 11.2%;
Hypertension:
31.9%
(BDHS 2011)","Diabetes: 10%
Hypertension: 30%
(HNPSIP 2016-2021)"
,"3.8.2: Number of
people covered by
health insurance
or a public health
system (per 1,000
population)","Achieve universal
health coverage,
including
financial risk
protection",-,-
Table 3.3. Contd.,,,,
