0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
,,,,Type of SBCC materials,,,,,,,,,,,,,
,Short description of the SBCC,,,,,,,,,,,,,,,,
,materials,,,Leaflet,,,Poster,,,Form,,,Note pad,,,Book,
,,,,,,,,,,,,,,,,,
COVID-19 prevention / Control,,,"2,00,000",,,"40,000",,,,,,,,,,,
"Health Day, 2022",,,"30,000",,,"22,000",,,,,,,,,,,
"Health Awareness on Diarrhea
Prevention / control",,,"1,00,000",,,,,,,,,,,,,,
"Health Awareness on Dengue prevention
/ Control",,,"3,00,000",,,,,,,,,,,,,,
Health Awareness during Flood,,,"1,00,000",,,,,,,,,,,,,,
"Health Awareness on Chikungunya
prevention / Control",,,"1,00,000",,,,,,,,,,,,,,
"Health Awareness on Nipah Virus
prevention / Control",,,"1,00,000",,,,,,,,,,,,,,
"Health Awareness on Heat Stroke
prevention / Control",,,"50,000",,,,,,,,,,,,,,
Awareness on Cadaveric EYE donation,,,,,,"5,000",,,,,,,,,,,
Sample collection COVID-19 Form,,,,,,,,,"70,000",,,,,,,,
Official Pad for DGHS,,,,,,,,,,,,"5,000",,,,,
Official Pad for L&HEP,,,,,,,,,,,,700,,,,,
"Annual Report of MoHFW, 2020-2021
(162 Pages)",,,,,,,,,,,,,,,"1,500",,
"Annual Performance report of L&HEP
(180 Pages)",,,,,,,,,,,,,,,200,,
