0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
,,,,,,,Description of participants,,,,,,,,,,,,,,,,,,,,,,,,,
,Administrative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Batch,,,MoHFW personnel,,,,,,,,,Non-MoHFW personnel,,,,,,,,,Total no. of participants,,,,,,,
,location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Male,,,Female,,,Total,,,Male,,,Female,,,Total,,,Male,,,Female,,,Total,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barisal,,,49,,,587,,,463,,,1050,,,594,,,328,,,922,,,1181,,,791,,,1972,,
Chattogram,,,109,,,1448,,,808,,,2256,,,4279,,,1301,,,5580,,,5727,,,2109,,,7836,,
Dhaka,,,202,,,2234,,,1035,,,3269,,,5644,,,2153,,,7796,,,7878,,,3188,,,11066,,
Khulna,,,75,,,904,,,437,,,1341,,,3022,,,753,,,3775,,,3926,,,1190,,,5116,,
Mymensingh,,,65,,,642,,,517,,,1159,,,1096,,,398,,,1494,,,1738,,,915,,,2653,,
Rajshahi,,,95,,,878,,,422,,,1300,,,2259,,,735,,,2994,,,3137,,,1157,,,4294,,
Rangpur,,,74,,,758,,,569,,,1327,,,1753,,,474,,,2227,,,2511,,,1043,,,3554,,
Sylhet,,,76,,,852,,,532,,,1384,,,1703,,,518,,,2221,,,2555,,,1050,,,3605,,
,Total,,,745,,,8303,,,4783,,,13086,,,20350,,,6660,,,27010,,,28653,,,11443,,,40096,
