0,1,2,3,4,5,6,7,8,9,10,11
,Type of Institution,,,Year,,,,,,Increased in,
,,,,2009,,,2022,,,numbers,
Medical University,,,1,,,5,,,4,,
Government Medical College,,,17,,,37,,,20,,
Private Medical College,,,40,,,66,,,26,,
Army and Armed Forces Medical College,,,1,,,6,,,5,,
Government Dental College and Unit,,,3,,,9,,,6,,
Private Dental College and Unit,,,11,,,26,,,15,,
Government Institute of Health Technology (IHT),,,3,,,23,,,20,,
Private Institute of Health Technology (IHT),,,38,,,97,,,59,,
Government Medical Assistant Training School (MATS),,,7,,,16,,,9,,
Private Medical Assistant Training School (MATS),,,23,,,200,,,177,,
,Total number of institutions,,,144,,,485,,,341,
