0,1,2,3,4,5
"services at 2 island upazilas,",,,,,
ensuring normal deliveries by the,,,,,
midwives at the union level facilities,,,,,
around all of the time,,,,,
▪ IOM keeps an open line of,,,,,
communication with the Civil,,,,,
"Surgeon's Office (CSO), largely",,,,,
"through official letters, in order to",,,,,
obtain clearance of construction,,,,,
batches for the purposes of,,,,,
reconstruction and renovation of 100,,,,,
community clinics (CCs) in Cox’s,,,,,
Bazar district. During the time period,,,,,
"covered by this report, the IOM",,,,,
worked in close collaboration with the,,,,,
Upazila Health and Family Planning,,,,,
Office (UHF&PO) to find solutions to,,,,,
problems confronting community,,,,,
clinics. The primary emphasis of this,,,,,
cooperation was placed on shoring up,,,,,
the referral networks between the,,,,,
health complexes and the community,,,,,
"clinics. In addition, IOM coordination",,,,,
"with UH&FPO, Community Health",,,,,
"Care Providers (CHCP), and Upazila",,,,,
Engineers continued in preparation,,,,,
for the handover process of finished,,,,,
clinics. During the period covered by,,,,,
"this report, 73 out of a possible 100",,,,,
community clinics were handed over,,,,,
to the Government of Bangladesh,,,,,
(GoB) and others 08 CC are at,,,,,
"finishing stage, 16 are at access",,,,,
"plumbing paint stage, 03 are brick",,,,,
wall & plaster stage. The,,,,,
Coordination Cell is responsible for,,,,,
,,,,,
Table 4.10.1 Total number of health facilities in and around the FDMN camps,,,,,
supported by health partners,,,,,
,Type of facility,,,Number,
Health Post,,,73,,
Primary Health Center,,,45,,
Community Clinic (MOH),,,37,,
Diarrhea Treatment Center (functional and on standby),,,10,,
Field Hospital,,,3,,
Health and Family Welfare Center (MOH),,,7,,
Secondary Health Facility (including surgical and non-surgical),,,8,,
Sub-center (MOH),,,6,,
Upazila HC and Sadar Hospital,,,3,,
WFS,,,10,,
,Total,,,270,
