0,1,2,3,4,5,6,7,8,9,10,11,12,13
,Sl.,,,Indicator,,,Base year’s information,,,,8FYP target,,
,No.,,,,,,(source with year),,,,(FY 2025),,
Impact/ Outcome,,,,,,,,,,,,,
1.,,,Life-expectancy at birth,,,,,71.97 years (WB 2020),,,,74,
2.,,,Total fertility rate (children per woman),,,,,2.00 (World Bank 2020),,,,2.0,
3.,,,"Under-5 mortality rate (per 1,000 live
births)",,,,,31 (BDHS 2022),,,,27,
4.,,,"Infant mortality rate (per 1,000 live
births)",,,,,25 (BDHS 2022),,,,18,
5.,,,"Maternal mortality ratio (per 100,000 live
births)",,,,,123 (World Bank 2020),,,,100,
6.,,,"Proportion of underweight among under-
5 children (%)",,,,,22.6 (MICS 2019),,,,15,
7.,,,"Proportion of stunting among under-5
children (%)",,,,,28 (MICS 2019),,,,20,
Output,,,,,,,,,,,,,
8.,,,"Proportion of births attended medically-
trained care providers (%)",,,,,57.9 (SVRS 2021),,,,72,
9.,,,Contraceptive prevalence rate (%),,,,,64% (BDHS 2022),,,,75,
10.,,,"Proportion of children fully-vaccinated by
12 months (%)",,,,,89(BDHS 2017-2018),,,,98,
11.,,,"Proportion of births in health facilities by
wealth quintile (ratio of the lowest and
the highest quintile)",,,,,1:3 (BDHS 2017-2018),,,,1: 1.5,
12.,,,"Tuberculosis incidence per 100,000
population",,,,,"221 (Global Tuberculosis
Report, WHO, 2021)",,,,112,
