0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
,,,,,,,Number of participants,,,,,,,,,,,,,
,,,,,,,,,,Non-,,,,,,,,,,
,,,,,,,MoHFW,,,,,,Total participants,,,,,,,
,Thematic areas,,,Batch,,,,,,MoHFW,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sub-,,,Sub-,,,,,,,,,,
,,,,,,,,,,,,,Male,,,Female,,,Total,
,,,,,,,Total,,,Total,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Workshop / SBCC activity for Promotion
of Healthy diet, hazard of excessive salt,
oil, sugar, Junk food & benefits of Fruits
and Vegetables intake",,,70,,,1038,,,1802,,,2067,,,773,,,2840,,
"Workshop for awareness building to stop
Tobacco consumption & Substance
abuse",,,28,,,170,,,990,,,951,,,209,,,1160,,
"Awareness creation to Promote safe and
healthy environments and sanitation
within health facilities, household,
workplaces, schools and MWM at HCFs",,,114,,,2171,,,2071,,,3102,,,1140,,,4242,,
"Awareness building for Road safety,
drowning and waterway safety",,,49,,,890,,,1011,,,1365,,,536,,,1901,,
"Communication campaign on Arsenic-
free water",,,32,,,814,,,376,,,762,,,428,,,1190,,
"Awareness on prevention, control and
elimination of Malaria, Kala-azar,
Filarial, Dengue, Chikungunya and
other emerging & re-emerging diseases",,,51,,,1702,,,188,,,1266,,,624,,,1890,,
"Advocate to reduce NCD high risk
behaviors and APA",,,07,,,305,,,15,,,218,,,102,,,320,,
"Mass awareness campaign on
prevention, control and elimination of
COVID-19",,,69,,,1488,,,986,,,1664,,,831,,,2495,,
"Public education campaign on benefits of
Physical exercise, Food habit & Rest for
Healthy Lifestyle",,,10,,,195,,,215,,,326,,,84,,,410,,
"Collect newly developed SBCC
materials, conduct vetting and
incorporate in the e-Toolkit & Resource
Management",,,04,,,40,,,190,,,183,,,47,,,230,,
"Awareness campaign on food safety, food
hygiene, Anemia & Malnutrition and
healthy aging",,,51,,,744,,,996,,,1224,,,516,,,1740,,
"Campaign on Child Health and School
Health based on ""Uniform School Health
Packages""",,,80,,,457,,,2910,,,2227,,,1140,,,3367,,
