0,1,2,3,4,5,6,7,8,9,10,11
,,,,,,,Beneficiaries,,,Budget,
,,,,,,,(Persons in,,,(BDT in,
,,,,Ministry/,,,,,,,
,Social Security Programs,,,,,,Lac),,,Crore),
,,,,Division,,,,,,,
,,,,,,,Revised (22-,,,Revised,
,,,,,,,,,,,
,,,,,,,23),,,(22-23),
"Maternal, Neonatal, Child and Adolescent
Health/ National Nutrition Services*",,,HSD,,,735.76,,,895.44,,
"Essential Services Delivery & Community-
Based Heath Care",,,HSD,,,1100.00,,,1067.21,,
"T.B., Leprosy, Communicable and Non-
communicable Disease Control",,,HSD,,,501.84,,,751.49,,
"Maternal, Child, Reproductive and
Adolescent Health",,,MEFWD,,,9.95,,,178.10,,
"Clinical Contraception Services Delivery/
Family Planning Field Services Delivery*",,,MEFWD,,,9.06,,,431.84,,
