0,1,2,3,4,5,6,7,8
,Facility,,,Major,,,Minor,
,,,,Surgery,,,Surgery,
Bagerhat District Hospital,,,603,,,12199,,
"Bandarban 250 Bed District Hospital, Bandarban",,,243,,,1643,,
Barguna District Hospital,,,248,,,4478,,
Barisal General Hospital,,,561,,,6427,,
Bhola 250 bed District Sadar Hospital,,,915,,,2198,,
Bogra 250 bed Mohammad Ali District Hospital,,,3199,,,7990,,
Brahmanbaria 250 Bed District Sadar Hospital,,,888,,,10962,,
Chandpur 250 Bed General Hospital,,,1542,,,4046,,
Chapainawabganj 250 bed District Hospital,,,485,,,3052,,
Chittagong 250 Bed General Hospital,,,888,,,691,,
Chuadanga District Hospital,,,1358,,,4268,,
Cox's Bazar 250 Bed District Sadar Hospital,,,1836,,,16555,,
Cumilla General Hospital,,,1925,,,3727,,
Dinajpur 250 bed General Hospital,,,2303,,,5271,,
Faridpur General Hospital,,,210,,,5831,,
Feni 250 Bed District Sadar Hospital,,,1917,,,11989,,
Gaibandha 250 bed District Hospital,,,1238,,,7585,,
Gopalganj 250 bed General Hospital,,,7400,,,10650,,
Habiganj 250 bed District Hospital,,,66,,,40,,
Jamalpur 250 Beded General Hospital,,,2996,,,4254,,
Jashore 250 bed General Hospital,,,4447,,,33520,,
Jhalokathi District Hospital,,,495,,,556,,
Jhenaidah 250 Bedded General Hospital,,,1951,,,9397,,
Joypurhat 250 bed District Hospital,,,3992,,,10410,,
Khagrachari District Hospital,,,914,,,5923,,
Khulna 250 Bed General Hospital,,,882,,,6790,,
Kishoreganj 250 Bed District Sadar Hospital,,,1436,,,20674,,
Kurigram 250 bed District Hospital,,,1067,,,4028,,
Kurmitola 500 Bed General Hospital,,,2072,,,11217,,
Kushtia 250 bed General Hospital,,,6048,,,7887,,
Lakshmipur District Hospital,,,1182,,,7881,,
Lalmonirhat District Hospital,,,1256,,,8783,,
Madaripur District Hospital,,,504,,,14124,,
Magura 250 bed District Hospital,,,1663,,,11877,,
Manikganj 250 Bed District Hospital,,,1529,,,706,,
