0,1,2,3,4,5,6,7,8
"Table 30: Projection of the supply of Diploma nurses according to scenarios
(210%)",,,,,,,"Total population in BD
(2018, 2024 & 2030)","Density
per 10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%","Total
Supply",,
,"Gradu-
ates",Increase,95%,,,,,
2018,,,,,,50539,164600000,3.07
2019,5394,,5124,50539,2022,53642,,
2020,6711,,6375,53642,2146,57872,,
2021,7742,,7355,57872,2315,62912,,
2022,14984,20%,14235,62912,2516,74630,,
2023,14984,,14235,74630,2985,85880,,
2024,14984,,14235,85880,3435,96680,174612904,5.54
2025,14984,,14235,96680,3867,107048,,
2026,14984,,14235,107048,4282,117001,,
2027,14984,,14235,117001,4680,126557,,
2028,14984,,14235,126557,5062,135729,,
2029,14984,,14235,135729,5429,144535,,
2030,14984,,14235,144535,5781,152989,190686952,8.02
Source: BBS Pop Projection 2011-2061,,,,,,,,
