0,1,2,3,4,5,6,7,8
"Table 62: Projection of the supply of Medical Technologists- Dentistry according to
scenario 2 (+10%)",,,,,,,"Total population
in BD
(2018, 2024 &
2030)","Densi-
ty per
10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%",Total Supply,,
,"Gradu-
ates","In-
crease",80%,,,,,
2018,,,,,,4118,164600000,0.25
2019,287,,230,4118,165,4183,,
2020,336,,269,4183,167,4284,,
2021,344,,275,4284,171,4388,,
2022,340,,272,4388,176,4485,,
2023,332,,266,4485,179,4571,,
2024,365,10%,292,4571,183,4680,174612904,0.27
2025,365,,292,4680,187,4785,,
2026,365,,292,4785,191,4886,,
2027,365,,292,4886,195,4983,,
2028,365,,292,4983,199,5075,,
2029,365,,292,5075,203,5165,,
2030,365,,292,5165,207,5250,190686952,0.28
Source: BBS Pop Projection 2011-2061,,,,,,,,
