0,1,2,3,4,5,6,7,8
"Table 59: Projection of the supply of Medical Technologists- Physiotherapy
according to scenarios 3-4 (+10%)",,,,,,,"Total population
in BD
(2018, 2024 &
2030)","Density
per 10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%","Total
Supply",,
,Graduates,Increase,95%,,,,,
2018,,,,,,2376,164600000,0.14
2019,319,,303,2376,95,2584,,
2020,303,,288,2584,103,2768,,
2021,341,,324,2768,111,2982,,
2022,297,,282,2982,119,3145,,
2023,327,,311,3145,126,3329,,
2024,360,10%,342,3329,133,3538,174612904,0.20
2025,360,,342,3538,142,3738,,
2026,360,,342,3738,150,3930,,
2027,360,,342,3930,157,4115,,
2028,360,,342,4115,165,4292,,
2029,360,,342,4292,172,4462,,
2030,360,,342,4462,178,4625,190686952,0.24
Source: BBS Pop Projection 2011-2061,,,,,,,,
