0,1,2,3,4,5,6,7,8
"Table 83: Projection of the supply of Medical Technologist - Prosthetics and Orthotics
according to scenarios 3-4 (+10%)",,,,,,,"Total pop-
ulation in
BD
(2018, 2024
& 2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous
year","Attrition rate
4%","Total
Supply",,
,"Gradu-
ates",Increase,95%,,,,,
2018,,,,,,23,164600000,0.001
2019,9,,9,23,1,31,,
2020,7,,7,31,1,36,,
2021,9,,9,36,1,43,,
2022,9,,9,43,2,50,,
2023,8,,8,50,2,56,,
2024,9,10%,8,56,2,62,174612904,0.004
2025,9,,8,62,2,68,,
2026,9,,8,68,3,73,,
2027,9,,8,73,3,79,,
2028,9,,8,79,3,84,,
2029,9,,8,84,3,89,,
2030,9,,8,89,4,94,190686952,0.005
Source: BBS Pop Projection 2011-2061,,,,,,,,
