0,1,2,3,4,5,6,7,8
Table 18: Projection of the supply of SACMOs according to scenarios 3-4 (+20%),,,,,,,"Total population
in BD
(2018, 2024 &
2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate 4%","Total
Supply",,
,Graduates,Increase,95%,,,,,
2018,,,,,,14081,164600000,0.86
2019,3787,,3598,14081,563,17115,,
2020,3251,,3088,17115,685,19519,,
2021,3549,,3372,19519,781,22110,,
2022,3946,20%,3748,22110,884,24974,,
2023,3946,,3749,24974,999,27724,,
2024,3946,,3749,27724,1109,30363,174612904,1.74
2025,3946,,3749,30363,1215,32898,,
2026,3946,,3749,32898,1316,35330,,
2027,3946,,3749,35330,1413,37666,,
2028,3946,,3749,37666,1507,39908,,
2029,3946,,3749,39908,1596,42060,,
2030,3946,,3749,42060,1682,44127,190686952,2.31
