0,1,2,3,4,5,6,7,8
"Table 86: Projection of the supply of Medical Technologists - Pharmacists
(Category B) according to scenario 2 (+10%)",,,,,,,"Total population
in BD
(2018, 2024 &
2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
1%","Total
Supply",,
,"Gradu-
ates","In-
crease",80%,,,,,
2018,,,,,,14454,164600000,0.88
2019,311,,249,14454,145,14558,,
2020,311,,249,14558,146,14661,,
2021,311,,249,14661,147,14764,,
2022,311,,249,14764,148,14865,,
2023,311,,249,14865,149,14965,,
2024,342,10%,274,14965,150,15089,174612904,0.86
2025,342,,274,15089,151,15212,,
2026,342,,274,15212,152,15333,,
2027,342,,274,15333,153,15454,,
2028,342,,274,15454,155,15573,,
2029,342,,274,15573,156,15691,,
2030,342,,274,15691,157,15808,190686952,0.83
