0,1,2,3
Table-19a: Projection of the increase of the supply of medical technologists (2018-2030) according to scenarios 3 and 4,,,
"Occupational category
(N. 2018)","Scenario 1
(N 2030/%)","Scenario 2 +10%
(N 2030/%)","Scenario 2 +20%
(N 2030/%)"
Medical Technologist-Laboratory (12744),+2609 (+20%),+3113 (+24%),+3616 (+28%)
Medical Technologist-Radiotherapy (576),+527 (+91%),+576 (+100%),+626 (+109%)
"Medical Technologist-Radiography & Ima-
ging (3435)",+2296 (+67%),+2532 (+74%),+2767 (+81%)
Medical Technologist-Physiotherapy (2376),+2056 (+87%),+2249 (+95%),+2442 (+103%)
Medical Technologist-Dentistry (4118),+1448 (+35%),+1644 (+40%),+1840 (+45%)
"Medical Technologist-Operation Theater (OT)
Assistance (165)",+1017 (+617%),+1089 (+660%),+1160 (+703%)
"Medical Technologist-Intensive Care (IC)
Assistance (60)",+670 (+1117%),+712 (+1186%),+753 (+1255%)
"Medical Technologist-Prosthetics and Orthot-
ics (23)",+66 (+287%),+71 (+307%),+75 (+328%)
"Medical Technologist - Pharmacy (B-Catego-
ry) (14454)",+1715 (+12%),+1915 (+13%),+2116 (+15%)
