0,1,2,3,4,5,6,7,8
Table 21: Projection of the supply of BSc nurses according to scenario 2 (+20%),,,,,,,"Total population
in BD
(2018, 2024 &
2030)","Density per
10000"
Year,New registrations,,,"Supply of
previous
year","Attrition
rate
4%",Total Supply,,
,"Gradu-
ates",Increase,80%,,,,,
2018,,,,,,4064,164600000,0.25
2019,1345,,1076,4064,163,4977,,
2020,1909,,1527,4977,199,6306,,
2021,2773,,2218,6306,252,8272,,
2022,3207,,2566,8272,331,10506,,
2023,6892,20%,5513,10506,420,15599,,
2024,6892,,5513,15599,624,20489,174612904,1.17
2025,6892,,5513,20489,820,25183,,
2026,6892,,5513,25183,1007,29688,,
2027,6892,,5513,29688,1188,34014,,
2028,6892,,5513,34014,1361,38167,,
2029,6892,,5513,38167,1527,42154,,
2030,6892,,5513,42154,1686,45981,190686952,2.41
Source: BBS Pop Projection 2011-2061,,,,,,,,
